id;note;image;image_content_type;weight_date
1;matrices evolve Granite;../fake-data/blob/hipster.png;image/png;2021-11-26T17:11:04
2;Virginia;../fake-data/blob/hipster.png;image/png;2021-11-26T12:29:44
3;Pre-emptive;../fake-data/blob/hipster.png;image/png;2021-11-26T09:58:57
4;Flats blue;../fake-data/blob/hipster.png;image/png;2021-11-26T16:04:30
5;Flat THX Dalasi;../fake-data/blob/hipster.png;image/png;2021-11-26T14:28:13
6;Guiana;../fake-data/blob/hipster.png;image/png;2021-11-26T20:30:50
7;salmon International invoice;../fake-data/blob/hipster.png;image/png;2021-11-26T17:12:10
8;bus AI;../fake-data/blob/hipster.png;image/png;2021-11-26T20:42:48
9;hacking;../fake-data/blob/hipster.png;image/png;2021-11-26T18:04:55
10;red Small;../fake-data/blob/hipster.png;image/png;2021-11-26T13:42:34
